"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W40","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","DK","Denmark",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","EE","Estonia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","EL","Greece",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","ES","Spain",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","EU31_UKX","EU/EEA",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","FR","France",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","HU","Hungary",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","IE","Ireland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","LT","Lithuania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","LU","Luxembourg",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","LV","Latvia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","NL","Netherlands",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","NO","Norway",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","PL","Poland",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","PT","Portugal",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","RO","Romania",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","SE","Sweden",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W41","SI","Slovenia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","AT","Austria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","BE","Belgium",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","BG","Bulgaria",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","CZ","Czechia",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","DE","Germany",0.000000000,""
"Influenza","Influenza virus detections non-sentinel","Positive specimens","N","2009-W42","DK","Denmark",0.000000000,""
